County,For Sale,Sold Last Year,Sold Last 6 Months,Sold Last 3 Months,Sold Last Month,STR Last Year,STR Last 6 Months,STR Last 3 Months,STR Last Month
Reagan,5,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Real,45,25,14,10,2,%55.56,%31.11,%22.22,%4.44
Red River,61,70,27,8,5,%114.75,%44.26,%13.11,%8.20
Reeves,25,15,10,2,0,%60.00,%40.00,%8.00,%0.00
Refugio,57,31,19,11,5,%54.39,%33.33,%19.30,%8.77
Roberts,10,2,1,0,0,%20.00,%10.00,%0.00,%0.00
Robertson,71,122,60,28,9,%171.83,%84.51,%39.44,%12.68
Rockwall,145,91,42,25,9,%62.76,%28.97,%17.24,%6.21
Runnels,40,6,2,0,2,%15.00,%5.00,%0.00,%5.00
Rusk,241,160,77,32,10,%66.39,%31.95,%13.28,%4.15
Sabine,34,7,5,4,2,%20.59,%14.71,%11.76,%5.88
San Augustine,66,36,16,5,5,%54.55,%24.24,%7.58,%7.58
San Jacinto,408,265,111,55,19,%64.95,%27.21,%13.48,%4.66
San Patricio,339,168,64,27,12,%49.56,%18.88,%7.96,%3.54
San Saba,18,7,5,4,0,%38.89,%27.78,%22.22,%0.00
Schleicher,8,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Scurry,27,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Shackelford,4,8,1,1,0,%200.00,%25.00,%25.00,%0.00
Shelby,31,34,15,11,5,%109.68,%48.39,%35.48,%16.13
Sherman,4,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Smith,11,4,2,2,1,%36.36,%18.18,%18.18,%9.09
Somervell,101,31,13,4,3,%30.69,%12.87,%3.96,%2.97
Starr,135,45,24,16,7,%33.33,%17.78,%11.85,%5.19
Stephens,20,15,6,4,1,%75.00,%30.00,%20.00,%5.00
Sterling,1,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Stonewall,2,1,1,1,0,%50.00,%50.00,%50.00,%0.00
Sutton,5,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Swisher,4,0,0,7,0,%0.00,%0.00,%175.00,%0.00
Tarrant,530,549,288,163,62,%103.58,%54.34,%30.75,%11.70
Taylor,208,126,59,27,9,%60.58,%28.37,%12.98,%4.33
Terrell,4,2,2,1,1,%50.00,%50.00,%25.00,%25.00
Terry,16,3,2,1,0,%18.75,%12.50,%6.25,%0.00
Throckmorton,4,5,4,1,0,%125.00,%100.00,%25.00,%0.00
Titus,135,89,40,26,6,%65.93,%29.63,%19.26,%4.44
Tom Green,304,2,2,1,0,%0.66,%0.66,%0.33,%0.00
Travis,1244,527,223,114,39,%42.36,%17.93,%9.16,%3.14
Trinity,250,158,56,23,10,%63.20,%22.40,%9.20,%4.00
Tyler,195,113,53,28,10,%57.95,%27.18,%14.36,%5.13
Upshur,235,151,64,251,13,%64.26,%27.23,%106.81,%5.53
Upton,6,4,1,0,0,%66.67,%16.67,%0.00,%0.00
Uvalde,98,47,22,11,3,%47.96,%22.45,%11.22,%3.06
Val Verde,172,111,48,30,7,%64.53,%27.91,%17.44,%4.07
Van Zandt,340,261,137,82,28,%76.76,%40.29,%24.12,%8.24
Victoria,144,13,5,2,5,%9.03,%3.47,%1.39,%3.47
Walker,513,286,146,92,38,%55.75,%28.46,%17.93,%7.41
Waller,421,316,140,75,27,%75.06,%33.25,%17.81,%6.41
Ward,34,9,6,1,0,%26.47,%17.65,%2.94,%0.00
Washington,239,152,75,41,11,%63.60,%31.38,%17.15,%4.60
Webb,116,109,56,37,9,%93.97,%48.28,%31.90,%7.76
Wharton,135,141,70,31,5,%104.44,%51.85,%22.96,%3.70
Wheeler,0,1,1,0,0,%Infinity,%Infinity,%NaN,%NaN
Wichita,141,118,45,24,6,%83.69,%31.91,%17.02,%4.26
Wilbarger,12,5,3,2,1,%41.67,%25.00,%16.67,%8.33
Willacy,50,33,10,4,1,%66.00,%20.00,%8.00,%2.00
Williamson,463,208,95,50,13,%44.92,%20.52,%10.80,%2.81
Wilson,196,153,65,37,10,%78.06,%33.16,%18.88,%5.10
Winkler,6,1,0,0,0,%16.67,%0.00,%0.00,%0.00
Wise,466,316,148,71,30,%67.81,%31.76,%15.24,%6.44
Wood,362,258,137,75,21,%71.27,%37.85,%20.72,%5.80
Yoakum,9,3,1,1,1,%33.33,%11.11,%11.11,%11.11
Young,44,18,6,2,0,%40.91,%13.64,%4.55,%0.00
Zapata,16,28,13,4,1,%175.00,%81.25,%25.00,%6.25
Zavala,4,1,0,0,0,%25.00,%0.00,%0.00,%0.00
